code,system
R89.0,icd10
R89.4,icd10
R83.9,icd10
R74.9,icd10
R87.1,icd10
R32.X,icd10
R19.8,icd10
R86.0,icd10
R86.4,icd10
R41.0,icd10
R85.1,icd10
R84.4,icd10
R85.4,icd10
R87.0,icd10
R57.9,icd10
R01.1,icd10
R30.9,icd10
R79.9,icd10
R87.4,icd10
R85.0,icd10
R27.0,icd10
R43.8,icd10
R47.8,icd10
R94.1,icd10
R84.0,icd10
R93.8,icd10
R73.9,icd10
R87.8,icd10
R20.8,icd10
R82.9,icd10
R07.4,icd10
R86.9,icd10
R89.1,icd10
R49.8,icd10
R04.9,icd10
R10.4,icd10
R25.1,icd10
R85.9,icd10
R56.8,icd10
R32,icd10
R85,icd10
R60.9,icd10
R84.1,icd10
R86.8,icd10
R50.9,icd10
R79.8,icd10
R27.8,icd10
R23.8,icd10
R26.8,icd10
R45.7,icd10
R25.8,icd10
R22.9,icd10
R06.8,icd10
R61.9,icd10
R85.8,icd10
R78.8,icd10
R52.9,icd10
R86.1,icd10
R76.9,icd10
R48.8,icd10
R87.9,icd10
R09.8,icd10
R76.8,icd10
R29.8,icd10
R40.2,icd10
R87.7,icd10
R82.8,icd10
R85.7,icd10
R89.7,icd10
R83.7,icd10
R86.7,icd10
R84.7,icd10
R49.2,icd10
R49.1,icd10
R49.0,icd10
R49,icd10
R14.X,icd10
R14,icd10
R59.1,icd10
R59,icd10
R59.9,icd10
R59.0,icd10
R75.X,icd10
R75,icd10
R82.2,icd10
R82.3,icd10
R82.4,icd10
R82.1,icd10
R82,icd10
R82.0,icd10
R85.2,icd10
R83.5,icd10
R89.2,icd10
R82.5,icd10
R83.2,icd10
R84.2,icd10
R86.2,icd10
R87.2,icd10
R82.7,icd10
R90.8,icd10
R94.0,icd10
R90.0,icd10
R90,icd10
R57.8,icd10
R57.1,icd10
R57,icd10
R57.0,icd10
R00.1,icd10
R12,icd10
R00.0,icd10
R00.2,icd10
R00,icd10
R12.X,icd10
R93.1,icd10
R00.8,icd10
R84.8,icd10
R84,icd10
R30,icd10
R30.0,icd10
R30.1,icd10
R64.X,icd10
R64,icd10
R46.5,icd10
R46.2,icd10
R46,icd10
R46.8,icd10
R46.4,icd10
R46.7,icd10
R46.3,icd10
R47.1,icd10
R47.0,icd10
R47,icd10
R87.6,icd10
R85.6,icd10
R89.6,icd10
R84.6,icd10
R83.6,icd10
R86.6,icd10
R73.0,icd10
R73,icd10
R62,icd10
R62.9,icd10
R62.0,icd10
R62.8,icd10
R18,icd10
R18.X,icd10
R34.X,icd10
R34,icd10
R69,icd10
R69.X,icd10
R35,icd10
R35.X,icd10
R78.0,icd10
R79,icd10
R71,icd10
R78,icd10
R78.7,icd10
R79.0,icd10
R78.1,icd10
R78.5,icd10
R78.3,icd10
R71.X,icd10
R78.4,icd10
R78.2,icd10
R78.6,icd10
R78.9,icd10
R63.5,icd10
R63.4,icd10
R68,icd10
R60.1,icd10
R44.2,icd10
R44.1,icd10
R44,icd10
R68.3,icd10
R44.0,icd10
R68.1,icd10
R44.3,icd10
R68.8,icd10
R61.1,icd10
R22,icd10
R22.7,icd10
R22.1,icd10
R22.2,icd10
R42,icd10
R42.X,icd10
R31.X,icd10
R31,icd10
R10.1,icd10
R22.3,icd10
R04.0,icd10
R04.8,icd10
R04,icd10
R04.2,icd10
R81,icd10
R81.X,icd10
R22.0,icd10
R51,icd10
R93.0,icd10
R25.0,icd10
R51.X,icd10
R74.8,icd10
R74,icd10
R83.0,icd10
R06,icd10
R06.4,icd10
R06.0,icd10
R06.3,icd10
R06.2,icd10
R06.1,icd10
R06.7,icd10
R60.0,icd10
R60,icd10
R17,icd10
R17.X,icd10
R96.0,icd10
R96.1,icd10
R96,icd10
R84.9,icd10
R89.9,icd10
R39.8,icd10
R94.5,icd10
R89,icd10
R89.8,icd10
R20.3,icd10
R20.0,icd10
R20.1,icd10
R20,icd10
R20.2,icd10
R72.X,icd10
R72,icd10
R86.5,icd10
R89.5,icd10
R84.5,icd10
R87.5,icd10
R85.5,icd10
R54,icd10
R54.X,icd10
R84.3,icd10
R89.3,icd10
R85.3,icd10
R86.3,icd10
R87.3,icd10
R82.6,icd10
R83.3,icd10
R41.3,icd10
R41.2,icd10
R41.1,icd10
R46.1,icd10
R01.0,icd10
R01,icd10
R01.2,icd10
R19.4,icd10
R19.1,icd10
R70.0,icd10
R70.1,icd10
R70,icd10
R06.5,icd10
R68.2,icd10
R39,icd10
R93.4,icd10
R39.0,icd10
R39.2,icd10
R94.7,icd10
R94,icd10
R48,icd10
R94.2,icd10
R48.1,icd10
R94.3,icd10
R94.4,icd10
R41.8,icd10
R41,icd10
R48.0,icd10
R48.2,icd10
R94.6,icd10
R94.8,icd10
R83.8,icd10
R83,icd10
R63.0,icd10
R63.8,icd10
R63,icd10
R63.1,icd10
R63.2,icd10
R24.Z,icd10
R44.8,icd10
R24,icd10
R29.2,icd10
R93.7,icd10
R29.4,icd10
R29,icd10
R29.3,icd10
R29.1,icd10
R29.0,icd10
R61,icd10
R61.0,icd10
R09.0,icd10
R09.2,icd10
R09.3,icd10
R09,icd10
R09.1,icd10
R36.X,icd10
R36,icd10
R58.X,icd10
R58,icd10
R16.1,icd10
R52,icd10
R16.2,icd10
R16,icd10
R16.0,icd10
R46.0,icd10
R22.4,icd10
R10.3,icd10
R03.1,icd10
R68.0,icd10
R13,icd10
R13.X,icd10
R10.2,icd10
R19,icd10
R19.2,icd10
R19.0,icd10
R19.3,icd10
R19.6,icd10
R10,icd10
R92,icd10
R92.X,icd10
R83.1,icd10
R05.X,icd10
R06.6,icd10
R05,icd10
R26.0,icd10
R26.1,icd10
R26,icd10
R26.2,icd10
R55,icd10
R55.X,icd10
R80.X,icd10
R77.2,icd10
R80,icd10
R77,icd10
R77.8,icd10
R77.0,icd10
R77.9,icd10
R77.1,icd10
R43.1,icd10
R43.2,icd10
R43.0,icd10
R43,icd10
R52.2,icd10
R50.1,icd10
R50.0,icd10
R50,icd10
R19.5,icd10
R15.X,icd10
R15,icd10
R23.4,icd10
R23.2,icd10
R23,icd10
R23.1,icd10
R23.0,icd10
R23.3,icd10
R07.3,icd10
R04.1,icd10
R07.1,icd10
R07.2,icd10
R07,icd10
R07.0,icd10
R25.2,icd10
R25.3,icd10
R25,icd10
R99.X,icd10
R99,icd10
R10.0,icd10
R52.0,icd10
R76.0,icd10
R83.4,icd10
R76.1,icd10
R76,icd10
R76.2,icd10
R39.1,icd10
R63.3,icd10
R98,icd10
R98.X,icd10
R93.5,icd10
R02.X,icd10
R02,icd10
R52.1,icd10
R93.3,icd10
R93.2,icd10
R,icd10
R45.1,icd10
R45.8,icd10
R45.4,icd10
R45.3,icd10
R45.5,icd10
R45,icd10
R45.2,icd10
R45.6,icd10
R40.1,icd10
R40.0,icd10
R40,icd10
R56.0,icd10
R56,icd10
R91.X,icd10
R91,icd10
R53.X,icd10
R53,icd10
R93.6,icd10
R93,icd10
R33.X,icd10
R33,icd10
R95,icd10
R95.X,icd10
R03,icd10
R03.0,icd10
R46.6,icd10
R21.X,icd10
R21,icd10
R74.0,icd10
R87,icd10
R86,icd10
R97,icd10
R27,icd10
R45.0,icd10
R11.X,icd10
R11,icd10